section,metric,dimension,value
phase0_global,total_attempts,all,24
phase0_global,distinct_users_with_attempts,all,4
phase0_global,global_accuracy_percent,all,94.92
phase0_mode_distribution,attempt_count,theme,17
phase0_mode_distribution,attempt_count,daily,7
phase1_status,analytics_events_available,all,1
starts_vs_completions,starts,theme,0
starts_vs_completions,completions,theme,0
starts_vs_completions,completion_rate_percent,theme,0
starts_vs_completions,starts,daily,0
starts_vs_completions,completions,daily,0
starts_vs_completions,completion_rate_percent,daily,0
starts_vs_completions,starts,level,1
starts_vs_completions,completions,level,0
starts_vs_completions,completion_rate_percent,level,0
starts_vs_completions,starts,marathon,4
starts_vs_completions,completions,marathon,1
starts_vs_completions,completion_rate_percent,marathon,25
marathon_end_distribution,ended_sessions,0-4,0
marathon_end_distribution,ended_sessions,5-9,1
marathon_end_distribution,ended_sessions,10-19,0
marathon_end_distribution,ended_sessions,20+,0
cta_clickthrough,clicks,theme,0
cta_clickthrough,completions,theme,0
cta_clickthrough,click_through_percent,theme,0
cta_clickthrough,clicks,daily,0
cta_clickthrough,completions,daily,0
cta_clickthrough,click_through_percent,daily,0
cta_clickthrough,clicks,level,0
cta_clickthrough,completions,level,0
cta_clickthrough,click_through_percent,level,0
cta_clickthrough,clicks,marathon,0
cta_clickthrough,completions,marathon,1
cta_clickthrough,click_through_percent,marathon,0
event_volume,mode_started,marathon,4
event_volume,marathon_ended,marathon,1
event_volume,mode_completed,marathon,1
event_volume,mode_started,level,1
data_quality,invalid_event_name_rows,all,0
data_quality,invalid_mode_rows,all,0
data_quality,event_props_not_object_rows,all,0
data_quality,level_result_missing_required_props_rows,all,0
data_quality,marathon_ended_missing_required_props_rows,all,0
data_quality,mode_completed_missing_required_props_rows,all,0
data_quality,post_run_cta_clicked_missing_required_props_rows,all,0
